house_id,dt,n_bedrooms,n_bathrooms,n_floors,S_above,S_basement,S_living,S_lot,lat,long,year_built,status,price_target
101826,2014-07-17,2,1.75,1.5,1740,0,1740,6620,47.526,-121.82799999999999,2002,3,350000.0
105715,2015-04-21,2,1.0,1.5,1090,0,1090,5265,47.6638,-122.292,1947,4,577000.0
118631,2014-09-26,3,2.0,1.0,1310,0,1310,7000,47.303000000000004,-122.383,1979,4,196500.0
116653,2014-05-02,3,2.5,3.0,1600,170,1770,1235,47.6965,-122.34200000000001,2007,3,436110.0
119014,2015-03-12,3,3.25,2.0,1090,190,1280,1730,47.7032,-122.36,2005,3,375000.0
105841,2015-01-05,5,4.5,2.0,2940,600,3540,21217,47.4274,-122.28,1926,4,707000.0
109178,2015-04-30,3,1.5,1.0,1060,0,1060,6954,47.5497,-122.355,1983,4,310000.0
109714,2014-09-26,4,2.75,2.0,3190,0,3190,5408,47.5903,-121.988,2005,3,722000.0
121137,2014-10-31,4,2.5,2.0,2060,0,2060,8451,47.7168,-122.333,1995,3,543000.0
100605,2014-07-16,3,1.0,1.0,1350,0,1350,7085,47.7318,-122.305,1944,5,427500.0
107063,2014-07-07,5,2.0,1.0,1400,1400,2800,17788,47.6719,-122.163,1963,4,665000.0
113082,2014-05-20,4,2.5,2.0,3230,0,3230,7331,47.5823,-121.97,2004,3,730000.0
105662,2014-07-09,3,2.5,2.0,2600,0,2600,5100,47.5175,-122.205,1998,3,583000.0
110888,2014-12-01,3,1.0,1.0,1060,0,1060,10228,47.7481,-122.3,1948,3,230000.0
119886,2014-08-18,3,1.0,1.0,1240,0,1240,4080,47.667,-122.333,1925,3,625000.0
112920,2015-04-09,4,2.0,1.5,1490,400,1890,4500,47.6684,-122.35600000000001,1907,3,805000.0
100250,2014-06-03,3,2.5,2.0,1720,0,1720,99916,47.3391,-122.09299999999999,1990,4,365000.0
102622,2014-10-13,4,2.0,1.5,1170,590,1760,5307,47.6714,-122.28,1948,4,625000.0
100583,2014-12-23,4,2.25,2.0,1920,0,1920,11603,47.4315,-122.169,1967,4,325000.0
120201,2015-02-20,3,1.75,1.0,2280,0,2280,139392,47.291000000000004,-122.118,1977,3,413000.0
107023,2014-10-23,3,2.5,2.0,2430,0,2430,7613,47.4383,-122.135,1986,4,384200.0
104523,2014-09-02,3,2.5,2.0,1480,0,1480,9743,47.3293,-122.001,1996,4,269950.0
117987,2014-07-29,4,2.5,2.0,2920,0,2920,252648,47.4784,-122.04799999999999,2002,3,820000.0
110473,2015-04-01,3,2.75,1.0,1360,650,2010,11200,47.7728,-122.25299999999999,1979,3,502000.0
111347,2015-03-30,2,1.5,1.5,1660,1040,2700,7225,47.5892,-122.383,1910,3,1260000.0
114927,2014-10-13,3,2.5,2.0,3110,0,3110,217800,47.3281,-122.124,2001,3,559000.0
118962,2014-05-06,3,2.5,2.0,1610,590,2200,1970,47.6426,-122.32700000000001,2008,3,1050000.0
102260,2014-06-12,4,2.5,1.0,1910,0,1910,9244,47.4918,-122.141,1963,4,333000.0
116606,2014-07-02,3,2.0,1.0,1470,0,1470,10052,47.726000000000006,-122.316,1956,4,480000.0
101710,2014-08-17,3,2.5,2.0,2830,0,2830,9680,47.6249,-122.024,1991,3,710000.0
116561,2015-04-21,2,1.0,1.0,700,0,700,5559,47.7492,-122.311,1949,5,266000.0
112340,2015-03-23,3,2.25,2.0,2330,1410,3740,22464,47.6354,-122.196,1966,5,999950.0
104190,2014-11-21,6,3.5,1.0,2090,1920,4010,16200,47.6322,-122.21600000000001,1955,3,1646000.0
115570,2014-09-09,4,1.0,1.5,1470,0,1470,18581,47.4336,-122.197,1924,3,180000.0
113331,2014-09-17,3,2.5,2.0,2520,0,2520,10223,47.631,-122.042,1988,3,590000.0
111232,2014-12-08,4,2.5,2.0,2850,0,2850,6809,47.7353,-121.973,2003,3,550000.0
104041,2014-06-29,4,2.75,1.0,2120,830,2950,15540,47.3845,-122.152,1974,4,402000.0
112484,2015-02-03,2,2.0,1.0,670,260,930,1662,47.6518,-122.4,2002,3,368000.0
106019,2015-04-24,2,1.0,1.0,1060,0,1060,5754,47.6931,-122.37200000000001,1917,4,395350.0
101377,2015-04-26,3,2.5,2.0,1580,0,1580,6860,47.4447,-122.18799999999999,1995,3,290000.0
104045,2014-09-11,2,1.0,1.0,960,0,960,4000,47.5554,-122.26700000000001,1918,3,290000.0
111135,2015-05-05,2,1.75,1.0,1020,510,1530,4387,47.6726,-122.264,1952,3,700180.0
