customer_id,product_0,product_1,product_2,product_3,product_4,product_5,product_6,gender_cd,age,marital_status_cd,children_cnt,first_session_dttm,job_position_cd,job_title
894436,,,,,,UTL,,M,30.0,MAR,0.0,2018-03-20 09:10:16,1,Неруководящий сотрудник - обсл. Персонал
524526,,UTL,,,,UTL,,F,20.0,UNM,0.0,2017-03-29 20:38:45,16,
498134,,UTL,,,,,,F,25.0,UNM,0.0,2018-03-12 11:25:06,22,
278941,,,UTL,CLS,,UTL,UTL,M,25.0,,,2016-02-21 18:47:51,16,Неруководящий сотрудник - специалист
877312,,UTL,,,,,,F,40.0,MAR,0.0,2018-03-07 11:17:02,22,
821806,,,,UTL,,UTL,,F,25.0,,0.0,2018-01-15 09:23:54,22,
782728,,UTL,,,,,,M,35.0,MAR,0.0,2017-12-26 09:02:58,22,
540071,,,,,,UTL,,M,30.0,,0.0,2018-05-07 16:05:38,11,
66158,,UTL,,,,UTL,,F,30.0,MAR,0.0,2013-03-17 08:26:13,22,СПЕЦИАЛИСТ
804202,,,,UTL,,UTL,,M,20.0,,0.0,2017-12-29 14:32:49,11,
323753,,,,UTL,,UTL,,M,30.0,,0.0,2016-05-26 16:44:48,22,
244719,,UTL,,,,UTL,,F,25.0,UNM,0.0,2015-12-09 16:29:54,22,Бренд-атташе
110927,UTL,,OPN,,,UTL,,M,25.0,UNM,0.0,2014-01-08 10:54:09,22,
307008,,CLS,UTL,,,CLS,,M,40.0,UNM,1.0,2016-04-20 07:59:34,22,
643021,,,,,,UTL,,F,25.0,,0.0,2017-08-19 14:54:57,11,
739814,,,UTL,,,UTL,,F,60.0,,0.0,2017-10-22 10:28:01,22,дом
816597,,,,,,UTL,,M,30.0,,0.0,2018-01-11 11:01:01,22,врач-психиатр
387428,,,OPN,,,UTL,,M,30.0,MAR,0.0,2016-09-28 10:04:15,22,Программист
134847,,,,UTL,,UTL,,F,40.0,,,2014-07-14 08:01:57,22,
650669,,UTL,,,,UTL,,F,25.0,MAR,0.0,2018-03-05 08:56:03,20,Продавец
210331,,UTL,,,,UTL,,F,40.0,MAR,0.0,2016-05-15 12:30:50,11,неофициальная работа
143055,,UTL,,,,UTL,,M,30.0,MAR,1.0,2014-09-18 15:44:26,2,фотограф
106750,,UTL,,,,UTL,,F,25.0,UNM,1.0,2015-09-28 13:15:02,16,
392634,,UTL,,,,UTL,,M,30.0,UNM,0.0,2016-10-15 11:59:26,4,коммерческий директор
195762,,CLS,,,,UTL,,M,40.0,MAR,0.0,2016-06-05 17:17:48,16,РАБОЧИЙ
902650,,,,,,UTL,,F,30.0,,0.0,2018-05-23 14:15:22,22,
761975,,UTL,,,,,,M,35.0,MAR,0.0,2017-12-03 14:19:27,19,Торговый представитель
505245,,,,,,UTL,,F,25.0,,0.0,2017-03-07 18:09:47,22,
480749,,UTL,,,,,,M,50.0,UNM,0.0,2017-02-12 07:59:55,17,завхоз
44824,,UTL,,,,,,M,35.0,DIV,0.0,2018-06-22 16:27:49,8,продажа вейпов
11028,,,,UTL,,UTL,,M,45.0,,,2012-07-23 05:35:39,22,
239164,,,,,,UTL,,M,30.0,UNM,0.0,2017-07-22 06:02:39,17,МЕХАНИК
830854,,,,CLS,,UTL,,M,45.0,,0.0,2018-01-23 08:34:20,22,
303498,,UTL,,,,UTL,,M,35.0,,0.0,2016-04-11 08:40:30,22,
478642,UTL,UTL,UTL,CLS,,UTL,,M,25.0,UNM,0.0,2017-02-11 10:03:31,22,программист
442584,,UTL,,,,,,M,30.0,UNM,0.0,2017-07-27 01:57:56,16,плотник-бетонщик
341657,,,,UTL,,UTL,,F,45.0,,0.0,2016-07-03 11:40:34,22,
663082,,UTL,,,,UTL,,M,35.0,MAR,0.0,2017-08-29 11:42:56,22,
623830,,UTL,,,,,,M,30.0,MAR,0.0,2017-07-31 09:53:11,20,юристконсульт
802333,,,,,,UTL,,F,30.0,,0.0,2017-12-27 08:08:36,22,Старший руководитель проектов
598106,,,,,,,,M,30.0,MAR,0.0,2017-07-04 20:00:16,16,фотограф
762259,,,,,,UTL,,F,25.0,,0.0,2017-11-23 07:14:16,22,
