answer_id,score
0,0.85
1,0.53
2,-0.89
3,0.54
4,0.34
5,-0.74
6,-0.22
7,-0.08
8,0.91
9,0.82
10,-0.06
11,0.49
12,0.77
13,-0.08
14,-0.09
15,0.22
16,0.79
17,-1.0
18,-0.56
19,-0.1
20,-0.48
21,0.23
22,0.66
23,0.21
24,0.91
25,-0.07
26,-0.92
27,0.44
28,0.83
29,0.74
30,0.95
31,-0.38
32,0.0
33,0.55
34,0.65
35,-0.35
36,-0.16
37,0.09
38,0.91
39,0.38
40,-0.68
41,0.59
42,-0.06
43,0.7
44,-0.96
45,0.66
46,0.34
47,0.89
48,0.55
49,0.64
50,0.73
51,0.78
52,-1.0
53,-0.58
54,-0.92
55,-0.8
56,0.97
57,0.88
58,0.29
59,-0.66
60,0.43
61,-0.43
62,-0.76
63,0.21
64,0.15
65,-0.65
66,-0.12
67,0.76
68,-0.52
69,0.93
70,0.3
71,1.0
72,0.44
73,-0.34
74,0.05
75,0.83
76,-0.88
77,-0.47
78,-0.87
79,0.11
80,-0.72
81,-0.08
82,0.03
83,0.76
84,-0.1
85,0.15
86,-0.04
87,-0.75
88,-0.62
89,-0.61
90,-0.72
91,0.46
92,-0.51
93,0.98
94,-0.07
95,-0.62
96,0.52
97,0.63
98,-0.04
99,-0.54
100,0.81
101,-0.68
102,-0.99
103,-0.1
104,-0.77
105,0.74
106,0.68
107,-0.71
108,-0.89
109,-0.78
110,0.33
111,0.92
112,-0.71
113,-0.78
114,0.92
115,-0.12
116,0.0
117,-0.84
118,0.83
119,-0.24
120,-0.02
121,-0.03
122,-0.04
123,-0.09
124,-0.38
125,-0.21
126,0.48
127,-0.79
128,-0.78
129,0.73
130,0.11
131,-0.94
132,0.75
133,0.85
134,0.07
135,-0.83
136,0.25
137,0.92
138,0.37
139,-0.33
140,-0.14
141,0.97
142,0.06
143,-0.13
144,-0.23
145,0.69
146,0.15
147,-0.94
148,0.3
149,0.29
150,0.9
151,-0.91
152,0.85
153,0.89
154,-0.11
155,0.45
156,-0.36
157,0.14
158,0.95
159,-0.17
160,0.21
161,0.5
162,0.35
163,-0.04
164,0.03
165,0.74
166,-0.16
167,0.51
168,0.28
169,-0.84
170,0.81
171,0.27
172,0.66
173,-0.28
174,0.69
175,0.69
176,0.82
177,0.96
178,-0.85
179,0.96
180,0.94
181,0.58
182,0.75
183,0.57
184,-0.51
185,0.82
186,0.41
187,0.11
188,-0.4
189,1.0
190,-0.48
191,1.0
192,-0.74
193,-0.32
194,-0.5
195,0.05
196,-0.82
197,-0.23
198,-0.46
199,-0.62
200,0.93
201,0.99
202,0.17
203,1.0
204,-0.51
205,-0.94
206,0.47
207,-0.67
208,0.52
209,0.43
210,0.35
211,0.69
212,-0.95
213,-0.53
214,0.57
215,0.97
216,0.03
217,0.72
218,-0.84
219,0.15
220,0.71
221,-0.03
222,0.38
223,-0.22
224,0.94
225,-0.69
226,0.47
227,0.62
228,-0.08
229,-0.86
230,-0.26
231,0.37
232,-0.75
233,-0.21
234,-0.48
235,1.0
236,-0.83
237,0.06
238,-0.11
239,-0.36
240,-0.5
241,-0.36
242,0.66
243,-0.86
244,-0.05
245,0.56
246,-0.61
247,0.96
248,0.91
249,-0.27
250,0.66
251,-0.59
252,0.55
253,0.79
254,-0.71
255,0.2
256,-0.59
257,0.66
258,-0.97
259,0.02
260,0.06
261,-0.4
262,0.5
263,0.55
264,-0.36
265,-0.46
266,-0.78
267,-0.48
268,-0.01
269,-0.05
270,0.88
271,0.23
272,-0.76
273,-0.76
274,-0.39
275,-0.24
276,0.14
277,0.84
278,-0.73
279,-0.25
280,0.75
281,0.21
282,-0.18
283,0.15
284,-0.66
285,0.69
286,0.81
287,0.0
288,0.51
289,0.9
290,-0.67
291,-0.68
292,0.98
293,-0.9
294,-0.25
295,0.99
296,-0.42
297,0.46
298,0.09
299,0.8
300,0.36
301,-0.11
302,-0.65
303,0.41
304,-0.71
305,0.68
306,0.83
307,-0.69
308,0.68
309,0.6
310,-0.91
311,0.01
312,0.33
313,-0.43
314,0.12
315,0.19
316,-0.32
317,-0.54
318,-0.16
319,-0.41
320,0.03
321,0.97
322,-0.82
323,-0.78
324,-0.81
325,0.63
326,0.34
327,-0.06
328,0.29
329,0.08
330,0.37
331,0.97
332,-0.41
333,0.55
334,0.77
335,-0.29
336,-0.54
337,0.2
338,-0.61
339,0.05
340,-0.53
341,-0.71
342,0.44
343,-0.34
344,0.92
345,-1.0
346,0.05
347,-0.93
348,-0.28
349,0.33
350,0.48
351,0.58
352,-1.0
353,0.7
354,0.2
355,0.32
356,-0.09
357,-0.46
358,-0.78
359,-0.59
360,0.2
361,0.68
362,-0.77
363,-0.94
364,0.97
365,-0.51
366,-0.64
367,0.07
368,-0.14
369,-0.58
370,0.1
371,-0.07
372,-0.8
373,-0.21
374,0.68
375,0.33
376,-0.55
377,0.7
378,-0.45
379,0.44
380,-0.47
381,-0.16
382,-0.98
383,-0.1
384,0.23
385,-0.52
386,0.95
387,0.13
388,-0.88
389,0.0
390,0.46
391,-0.25
392,-0.43
393,0.93
394,0.04
395,0.82
396,0.03
397,0.31
398,-0.79
399,0.11
400,-0.73
401,-0.32
402,0.98
403,-0.8
404,-0.24
405,-0.69
406,0.91
407,0.53
408,0.27
409,-0.5
410,-0.75
411,-0.55
412,-0.21
413,0.97
414,-1.0
415,-0.2
416,0.44
417,-0.8
418,0.85
419,-1.0
420,0.35
421,-0.72
422,0.54
423,0.49
424,0.46
425,0.62
426,-0.35
427,-0.04
428,-0.1
429,0.47
430,0.28
431,0.34
432,0.2
433,0.06
434,0.8
435,-0.6
436,0.03
437,0.12
438,-0.82
439,0.83
440,0.44
441,0.95
442,-0.49
443,-0.53
444,0.69
445,-0.8
446,-0.35
447,-0.71
448,-0.85
449,-0.59
450,0.74
451,0.35
452,0.15
453,0.12
454,0.17
455,0.47
456,-0.51
457,-0.46
458,-0.87
459,-0.31
460,1.0
461,-0.32
462,-0.15
463,0.5
464,-0.87
465,-0.17
466,-0.65
467,0.8
468,-0.34
469,0.24
470,0.13
471,-0.65
472,-0.62
473,0.39
474,-0.72
475,-0.45
476,0.36
477,-0.51
478,0.08
479,0.15
480,-0.68
481,0.67
482,-0.48
483,-0.18
484,0.23
485,0.6
486,-0.59
487,-0.6
488,-0.32
489,0.06
490,-0.59
491,-0.38
492,0.72
493,0.39
494,-0.84
495,-0.69
496,-0.3
497,-0.03
498,-0.47
499,-0.27
500,-0.48
501,-0.55
502,0.93
503,-0.13
504,0.44
505,-0.58
506,0.27
507,-0.07
508,0.83
509,0.61
510,0.09
511,0.33
512,-0.72
513,-0.2
514,-0.32
515,-0.91
516,0.97
517,-0.68
518,0.79
519,-0.08
520,-0.88
521,0.08
522,0.78
523,-0.15
524,0.15
525,0.61
526,0.62
527,0.8
528,-0.86
529,0.72
530,-0.74
531,0.77
532,-0.57
533,0.87
534,-0.95
535,0.36
536,0.07
537,-0.68
538,0.84
539,0.15
540,-0.16
541,0.03
542,0.06
543,0.71
544,-0.2
545,-0.09
546,0.11
547,-0.09
548,-0.49
549,0.44
550,-0.45
551,0.29
552,0.82
553,-0.68
554,0.88
555,0.59
556,0.28
557,-0.96
558,0.38
559,0.37
560,0.49
561,0.92
562,0.21
563,0.94
564,-0.74
565,-0.75
566,0.46
567,0.7
568,0.33
569,-0.46
570,0.93
571,-0.55
572,-0.26
573,-0.56
574,0.29
575,0.67
576,-0.96
577,-0.01
578,-0.32
579,-0.27
580,0.82
581,-1.0
582,0.82
583,0.7
584,0.86
585,0.0
586,-0.45
587,-0.17
588,0.81
589,0.31
590,-0.74
591,-0.44
592,-0.44
593,-0.71
594,-0.16
595,0.27
596,-0.46
597,-0.91
598,0.14
599,0.08
600,0.81
601,-0.36
602,-0.84
603,0.38
604,-0.33
605,0.67
606,-0.33
607,0.93
608,-0.58
609,0.11
610,0.61
611,0.26
612,-0.69
613,0.52
614,0.66
615,0.42
616,0.37
617,-0.39
618,0.58
619,0.11
620,-0.6
621,-0.23
622,-0.41
623,-0.35
624,0.62
625,0.6
626,0.45
627,0.65
628,0.19
629,-0.27
630,-0.27
631,-0.07
632,-0.99
633,-0.29
634,0.63
635,-0.92
636,-0.3
637,0.31
638,0.83
639,0.28
640,-0.86
641,-0.2
642,0.39
643,-0.65
644,-0.56
645,0.48
646,0.81
647,0.55
648,-0.37
649,0.17
650,-0.19
651,0.6
652,-0.01
653,-0.36
654,-0.55
655,-0.52
656,-0.52
657,0.36
658,0.14
659,-0.42
660,0.96
661,-0.15
662,0.18
663,-0.73
664,0.47
665,-0.62
666,0.86
667,-0.4
668,-0.66
669,-0.52
670,0.16
671,-0.01
672,-0.03
673,0.93
674,-0.3
675,-0.32
676,-0.4
677,-0.83
678,-0.35
679,0.18
680,-0.14
681,-0.2
682,0.74
683,0.2
684,0.22
685,-0.88
686,-0.27
687,-0.53
688,0.73
689,-0.82
690,-0.75
691,-0.18
692,-0.34
693,0.33
694,0.85
695,-0.86
696,0.21
697,0.14
698,-0.09
699,0.84
700,-0.72
701,-0.07
702,-0.1
703,0.24
704,-0.97
705,0.68
706,0.09
707,0.16
708,-0.15
709,0.35
710,0.86
711,-0.08
712,0.66
713,0.7
714,0.47
715,-0.47
716,-0.42
717,-0.12
718,0.68
719,-0.75
720,0.06
721,0.36
722,-0.74
723,-0.84
724,0.12
725,0.13
726,-0.8
727,0.02
728,0.05
729,0.87
730,0.2
731,-0.26
732,-0.44
733,-0.39
734,-0.88
735,-0.23
736,0.84
737,0.75
738,-0.59
739,-0.53
740,0.46
741,-0.53
742,-0.64
743,0.01
744,0.71
745,-0.9
746,-0.13
747,-0.84
748,0.69
749,0.86
750,0.69
751,-0.38
752,-0.36
753,0.99
754,0.56
755,-1.0
756,-0.96
757,-0.39
758,-0.5
759,0.21
760,-0.09
761,-0.24
762,-0.72
763,0.96
764,-0.46
765,-0.69
